full_name,position,team,opponent,projected_score,range_low,range_high,confidence_label,confidence_score,risk_tier,std_dev,floor,ceiling,vegas_implied_total,season_avg_pts,spread,rank_funnel
Nick Chubb,RB,HOU,LV,12.209230769230768,7.82196773596311,16.596493802498426,Medium Confidence,64.06601598256076,Safe,4.387263033267658,0.3,15.2,26.5,6.384615384615385,-14.5,21.0
RJ Harvey,RB,DEN,JAX,12.122499999999999,4.626684317417298,19.6183156825827,Low Confidence,38.166090471580105,Volatile,7.495815682582701,3.4,24.1,24.25,11.542857142857143,-3.0,1.0
Tyrone Tracy,RB,NYG,MIN,12.0925,5.371839859264365,18.813160140735633,Low Confidence,44.42290559656287,Volatile,6.720660140735634,0.6,24.7,20.25,9.7,3.0,27.0
Quinshon Judkins,RB,CLE,BUF,12.011730769230768,5.033688284186921,18.989773254274617,Low Confidence,41.90643614058691,Volatile,6.978042485043847,3.6,26.4,16.25,12.284615384615384,10.0,32.0
Ashton Jeanty,RB,LV,HOU,11.924999999999997,3.7582892278981213,20.091710772101873,Low Confidence,31.51605222556077,Volatile,8.166710772101876,4.4,33.5,12.0,13.685714285714285,14.5,13.0
Rachaad White,RB,TB,CAR,11.802499999999998,5.905993304608971,17.699006695391027,Medium Confidence,50.040188982071356,Volatile,5.896506695391027,2.4,23.1,24.25,8.942857142857143,-3.0,17.0
Kareem Hunt,RB,KC,TEN,11.575000000000001,5.544742046229616,17.605257953770387,Medium Confidence,47.90273906029905,Volatile,6.030257953770385,1.8,20.0,20.5,9.635714285714286,-3.5,15.0
Devin Neal,RB,NO,NYJ,11.566666666666666,6.2976534763244745,16.83567985700886,Medium Confidence,54.44657184142197,Safe,5.269013190342192,0.1,15.4,22.5,6.666666666666667,-4.5,29.0
Sean Tucker,RB,TB,CAR,11.471499999999999,1.9346649787666834,21.008335021233314,Low Confidence,16.86496952243982,Volatile,9.536835021233316,0.2,34.0,24.25,8.47,-3.0,17.0
Kimani Vidal,RB,LAC,DAL,11.350999999999999,3.303529728058775,19.39847027194122,Low Confidence,29.103424615089196,Volatile,8.047470271941224,2.9,22.8,24.0,11.48,1.5,8.0
Tyler Allgeier,RB,ATL,ARI,11.1,5.492014132105405,16.707985867894593,Medium Confidence,49.477604793742394,Volatile,5.607985867894595,0.6,17.7,25.0,7.821428571428571,-2.5,18.0
Tony Pollard,RB,TEN,KC,10.774999999999999,4.5597935505897125,16.990206449410284,Low Confidence,42.31826961104142,Volatile,6.215206449410286,5.3,28.1,17.0,11.042857142857143,3.5,12.0
Tyjae Spears,RB,TEN,KC,10.603,6.636137259747951,14.569862740252049,Medium Confidence,62.58735508580544,Safe,3.9668627402520493,1.4,17.2,17.0,7.94,3.5,12.0
Rhamondre Stevenson,RB,NE,BAL,10.59568181818182,4.172697521709714,17.018666114653925,Low Confidence,39.381113866117715,Volatile,6.422984296472106,1.8,21.2,22.75,8.954545454545455,3.0,14.0
Samaje Perine,RB,CIN,MIA,10.577272727272726,5.927795728336569,15.226749726208883,Medium Confidence,56.04276150554557,Safe,4.649476998936157,0.1,17.0,26.5,4.481818181818182,-2.5,26.0
Kyle Monangai,RB,CHI,GB,10.54,3.6947401497399364,17.385259850260063,Low Confidence,35.05446062371857,Volatile,6.845259850260063,1.8,22.8,22.5,8.628571428571428,1.5,16.0
Ty Johnson,RB,BUF,CLE,10.528653846153846,6.365891572904299,14.691416119403392,Medium Confidence,60.46254028220123,Safe,4.162762273249547,0.6,15.0,26.25,5.023076923076923,-10.0,20.0
Audric Estime,RB,NO,NYJ,10.085,3.085000000000001,17.085,Low Confidence,30.58998512642539,Volatile,7.0,1.1,8.0,22.5,4.55,-4.5,29.0
Michael Carter,RB,ARI,ATL,9.901,4.303967055860955,15.498032944139045,Low Confidence,43.47002379417185,Volatile,5.597032944139045,0.1,18.3,22.5,7.93,2.5,24.0
Kenneth Walker,RB,SEA,LAR,9.865,4.2184265958201514,15.511573404179849,Low Confidence,42.761546840548924,Volatile,5.646573404179849,2.9,20.1,21.5,10.107142857142858,1.5,5.0
Emanuel Wilson,RB,GB,CHI,9.41653846153846,1.6375727402932707,17.19550418278365,Low Confidence,17.390389759271756,Volatile,7.778965721245189,0.3,26.5,24.0,5.93076923076923,-1.5,22.0
Isiah Pacheco,RB,KC,TEN,9.322727272727272,5.82020869838161,12.825245847072935,Medium Confidence,62.430322459480955,Safe,3.502518574345662,2.1,12.8,20.5,6.418181818181818,-3.5,15.0
Jaylen Wright,RB,MIA,CIN,9.233333333333333,3.10033515408473,15.366331512581935,Low Confidence,33.577637047849066,Volatile,6.132998179248602,0.4,16.7,24.0,4.383333333333334,2.5,30.0
Zach Charbonnet,RB,SEA,LAR,9.203076923076923,4.2056545105495635,14.200499335604281,Medium Confidence,45.69835225438342,Safe,4.997422412527359,1.0,19.5,21.5,9.161538461538461,1.5,5.0
Chuba Hubbard,RB,CAR,TB,9.191666666666666,2.8382197377321168,15.545113595601215,Low Confidence,30.878183910050225,Volatile,6.35344692893455,1.7,20.4,21.25,9.541666666666666,3.0,4.0
Ray Davis,RB,BUF,CLE,9.1615,5.933824537861824,12.389175462138176,Medium Confidence,64.76913756330103,Safe,3.2276754621381762,0.1,9.9,26.25,3.07,-10.0,20.0
Devin Singletary,RB,NYG,MIN,9.0825,2.905993643714857,15.259006356285141,Low Confidence,31.995525942360118,Volatile,6.1765063562851426,0.2,19.2,20.25,5.3999999999999995,3.0,27.0
